[2025-08-07 13:35:07,519][datasets][INFO] - PyTorch version 2.7.1+cu126 available.
[2025-08-07 13:35:12,538][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,538][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,539][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,539][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,539][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,540][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,541][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,542][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,542][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,542][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,543][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,543][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,543][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,543][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,546][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,546][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,546][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,547][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,547][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,547][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,547][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,548][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,548][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,548][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,549][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,549][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,549][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,549][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,550][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
[2025-08-07 13:35:12,550][httpx][INFO] - HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 404 Not Found"
